# Displacement, Work
-0.05, 1.0782904174978047
-0.060000000000000005, 1.2249889405790473
-0.07, 1.3599310534700622
-0.08, 1.4890837144795197
-0.09, 1.6134115339309467
-0.09999999999999999, 1.7338442530507787
-0.10999999999999999, 1.8506258563632412
-0.11999999999999998, 1.9646146971536376
-0.12999999999999998, 2.075964928451069
-0.13999999999999999, 2.185333715465187
-0.15, 2.292358861828514
-0.16, 2.397389248281681
-0.17, 2.500966815676167
-0.18000000000000002, 2.6031301077656153
-0.19000000000000003, 2.7032838584821293
-0.20000000000000004, 2.801912092641158
-0.21000000000000005, 2.9012683509685426
-0.22000000000000006, 2.9958788889152763
-0.23000000000000007, 3.0945129076724096
-0.24000000000000007, 3.1878266922495357
-0.25000000000000006, 3.283727248851922
-0.26000000000000006, 3.3779839813459835
-0.2700000000000001, 3.466542057685263
-0.2800000000000001, 3.5623842121986784
-0.2900000000000001, 3.6556881919180015
-0.3000000000000001, 3.74379468168875
-0.3100000000000001, 3.8327223633106633
-0.3200000000000001, 3.92687350898833
-0.3300000000000001, 4.018600142945765
-0.34000000000000014, 4.105854421336027
-0.35000000000000014, 4.188689775535852
-0.36000000000000015, 4.277734434799865
-0.37000000000000016, 4.371566303482814
-0.38000000000000017, 4.4637431696801615
-0.3900000000000002, 4.55217943809762
-0.4000000000000002, 4.636633525588855
-0.4100000000000002, 4.717449212028941
-0.4200000000000002, 4.795046972079093
-0.4300000000000002, 4.886848299326219
-0.4400000000000002, 4.982396621197112
-0.45000000000000023, 5.076796609873348
-0.46000000000000024, 5.168105082528977
-0.47000000000000025, 5.255843661784582
-0.48000000000000026, 5.340143506916824
-0.49000000000000027, 5.421314601795068
-0.5000000000000002, 5.499672894319274
-0.5100000000000002, 5.5754924445960405
-0.5200000000000002, 5.649003052591984
-0.5300000000000002, 5.740228651094258
-0.5400000000000003, 5.8391689601834225
